name,pos,proj,high,low
KeAndre Lambert-Smith,WR,11.4,30.1,2.8
Hunter Renfrow,WR,11.4,31.3,7.2
Cedrick Wilson Jr.,WR,10.9,35.8,2.3
Jamal Agnew,WR,10.8,19.9,7.7
Devontez Walker,WR,10.7,24.1,2.8
Bo Melton,WR,10.7,13.5,3.5
Ben Skowronek,WR,10.3,13.6,3.6
Irvin Charles,WR,9.8,12.7,2.7
Maurice Alexander,WR,9.6,12.4,2.4
Samori Toure,WR,9.4,12.3,2.3
David Moore,WR,9.0,25.2,2.4
Xavier Weaver,WR,9.0,11.6,1.6
Malik Heath,WR,8.9,27.0,3.4
