simulation,pick_number,player_name,position,espn_rank
8,69,Travis Hunter,WR,66
8,70,Jakobi Meyers,WR,76
8,71,T.J. Hockenson,TE,69
8,72,DJ Moore,WR,54
8,73,Baker Mayfield,QB,63
8,74,Tetairoa McMillan,WR,64
8,75,Jordan Addison,WR,78
8,76,David Montgomery,RB,67
8,77,RJ Harvey,RB,72
8,78,Aaron Jones,RB,71
8,79,Tucker Kraft,TE,86
8,81,Cooper Kupp,WR,75
8,82,Isiah Pacheco,RB,70
8,83,Jaylen Warren,RB,91
8,84,Joe Mixon,RB,82
8,85,Travis Kelce,TE,84
8,86,Jerry Jeudy,WR,65
8,87,Deebo Samuel Sr.,WR,79
8,88,Bo Nix,QB,87
9,1,Puka Nacua,WR,8
9,2,Ja'Marr Chase,WR,1
9,3,A.J. Brown,WR,15
9,4,Bijan Robinson,RB,2
9,6,Drake London,WR,16
9,7,Jahmyr Gibbs,RB,5
9,8,Christian McCaffrey,RB,7
9,9,Justin Jefferson,WR,3
9,10,CeeDee Lamb,WR,6
9,11,Saquon Barkley,RB,4
9,12,Malik Nabers,WR,9
9,13,Brian Thomas Jr.,WR,14
9,14,Amon-Ra St. Brown,WR,10
9,15,Brock Bowers,TE,20
9,16,Derrick Henry,RB,11
9,17,Ashton Jeanty,RB,12
9,18,De'Von Achane,RB,18
9,19,Lamar Jackson,QB,29
9,20,James Cook,RB,33
9,21,Nico Collins,WR,13
9,22,Jonathan Taylor,RB,17
9,23,Trey McBride,TE,21
9,25,Josh Jacobs,RB,19
9,26,Jayden Daniels,QB,30
9,27,Kyren Williams,RB,22
9,28,Jaxon Smith-Njigba,WR,36
9,29,Tyreek Hill,WR,25
9,30,Davante Adams,WR,26
9,31,Bucky Irving,RB,23
9,32,Josh Allen,QB,28
9,34,Mike Evans,WR,35
9,35,Jalen Hurts,QB,31
9,36,Kenneth Walker III,RB,38
9,37,Chase Brown,RB,32
9,38,Ladd McConkey,WR,27
9,39,Joe Burrow,QB,39
9,40,DK Metcalf,WR,49
9,41,Terry McLaurin,WR,34
9,42,Xavier Worthy,WR,46
9,43,Tee Higgins,WR,24
9,44,James Conner,RB,43
9,45,TreVeyon Henderson,RB,44
9,46,Marvin Harrison Jr.,WR,47
9,47,Omarion Hampton,RB,37
